time,x,y,z,sensor_type,sensor_delay
136901431355437,6.9191365,2.6014864,6.26536,1,0
136901585682833,7.0553403,2.4380422,6.1700177,1,0
136901649434056,7.096201,2.4789033,6.2108784,1,0
136901651875463,7.0553403,2.4789033,6.347082,1,0
136901660969702,6.932757,2.465283,6.347082,1,0
136901662281957,6.973618,2.4108016,6.347082,1,0
136901666981664,7.0280995,2.4108016,6.4151835,1,0
136901669178930,6.9463773,2.465283,6.428804,1,0
136901712910621,6.8782754,2.506144,6.2789803,1,0
136901716237037,6.864655,2.5606253,6.1291566,1,0
136901718373267,6.891896,2.4789033,6.0882955,1,0
136901719532935,6.891896,2.3971813,6.1291566,1,0
136901721821755,6.9463773,2.315459,6.142777,1,0
136901723225563,6.973618,2.2473574,6.183638,1,0
136901747548072,7.0280995,2.1383946,6.183638,1,0
136901748341529,7.082581,2.083913,6.1563973,1,0
136901748860328,7.1506824,1.8659877,6.374323,1,0
136901777394262,7.2324047,1.7706453,6.4151835,1,0
136901778279272,7.273266,1.6753027,6.428804,1,0
136901778889623,7.2596455,1.6753027,6.510526,1,0
136901801991431,7.205164,1.7842655,6.5513873,1,0
136901802540748,7.205164,1.9068487,6.4424243,1,0
136901825489967,7.1915436,1.9885708,6.4151835,1,0
136901826008766,7.1506824,2.070293,6.3879433,1,0
136901826497047,7.137062,2.0566726,6.4424243,1,0
136901849507300,7.096201,1.9885708,6.4015636,1,0
136901850148170,7.04172,1.9340894,6.2789803,1,0
136901877278295,7.014479,1.9340894,6.183638,1,0
136901878407445,7.014479,1.9340894,6.0882955,1,0
136901879292455,7.0280995,1.920469,6.0610547,1,0
136901898335424,7.0553403,1.8932283,6.115536,1,0
136901899311987,7.1098213,1.920469,6.2244987,1,0
136901918507544,7.1234417,1.8932283,6.347082,1,0
136901919148413,7.1506824,1.9068487,6.496906,1,0
136901938740699,7.1234417,1.8932283,6.5513873,1,0
136901939686744,7.1506824,1.8932283,6.510526,1,0
136901959889380,7.1915436,1.920469,6.4151835,1,0
136901960926977,7.164303,1.879608,6.347082,1,0
136901982136695,7.1098213,1.879608,6.2517395,1,0
136901982930152,7.0553403,1.9068487,6.1563973,1,0
136902004384010,7.0689607,1.879608,6.1291566,1,0
136902005116432,7.096201,1.8659877,6.1700177,1,0
136902026051490,7.1506824,1.879608,6.183638,1,0
136902028920142,7.164303,1.8932283,6.2108784,1,0
136902030354468,7.177923,1.9477097,6.2926006,1,0
136902050709692,7.205164,1.9885708,6.3879433,1,0
136902051594702,7.2187843,1.9885708,6.469665,1,0
136902073903052,7.246025,2.002191,6.5650077,1,0
136902074665992,7.2324047,2.002191,6.4832854,1,0
136902144032447,7.2187843,2.002191,6.4832854,1,0
136902145344702,7.1234417,1.9477097,6.1563973,1,0
136902146290747,7.082581,1.9340894,5.992953,1,0
136902147114722,7.096201,1.9477097,5.965712,1,0
136902147877661,7.096201,1.9885708,5.9248514,1,0
136902148701636,7.082581,1.9885708,5.992953,1,0
136902149464575,7.096201,1.9749504,6.0201936,1,0
136902174702614,7.0553403,1.9885708,6.074675,1,0
136902176075905,7.137062,1.96133,6.0882955,1,0
136902176838844,7.1506824,1.9885708,6.183638,1,0
136902206440893,7.1506824,2.0566726,6.197258,1,0
136902207570043,7.1234417,2.083913,6.238119,1,0
136902208363500,7.1234417,2.070293,6.2108784,1,0
136902235371558,7.137062,2.0158114,6.1700177,1,0
136902236378638,7.2187843,2.002191,6.1563973,1,0
136902237263648,7.2187843,1.96133,6.1291566,1,0
136902260487525,7.2187843,1.96133,6.115536,1,0
