time,x,y,z,sensor_type,sensor_delay
139049677388152,4.807983,1.0896279,7.6954966,9,0
139049741597139,4.8079824,1.0896277,7.6954956,9,0
139049743641817,4.807979,1.0896264,7.695496,9,0
139049744404756,4.8079653,1.0896201,7.6955037,9,0
139049749226533,4.8079233,1.0896013,7.6955347,9,0
139049750630343,4.8078165,1.0895523,7.69563,9,0
139049753651583,4.8076386,1.0894679,7.695806,9,0
139049785023654,4.807307,1.0892975,7.696164,9,0
139049785664523,4.8068304,1.0890332,7.6966977,9,0
139049786244357,4.8061357,1.0886024,7.6974883,9,0
139049790547336,4.805179,1.0879383,7.6985517,9,0
139049817524876,4.803906,1.0869491,7.6998806,9,0
139049818257297,4.802236,1.085505,7.7014623,9,0
139049819386448,4.79967,1.0830095,7.7035084,9,0
139049848561254,4.7965984,1.0799099,7.705756,9,0
139049849324193,4.792526,1.0757046,7.7085123,9,0
139049849904027,4.7877293,1.0707562,7.7117586,9,0
139049903950660,4.78219,1.0650958,7.71569,9,0
139049905079811,4.7753954,1.0582626,7.7210813,9,0
139049905415504,4.76792,1.050818,7.7276263,9,0
139049908528297,4.759826,1.0428197,7.7355843,9,0
139049908955543,4.751189,1.0343229,7.7451973,9,0
139049933155981,4.741991,1.0252814,7.756894,9,0
139049934132543,4.732477,1.0159051,7.770376,9,0
139049934590307,4.7226186,1.0061393,7.7859726,9,0
139049963978735,4.7123604,0.9959241,7.804016,9,0
139049964924780,4.701907,0.98549503,7.8238688,9,0
139049965687719,4.6910887,0.9747348,7.846108,9,0
139049986805884,4.6799126,0.9637477,7.87062,9,0
139049989582983,4.6685085,0.9527867,7.8967333,9,0
139049990162818,4.656706,0.94194937,7.924568,9,0
139050006001441,4.644377,0.93142194,7.953835,9,0
139050024861304,4.631372,0.9213792,7.9841514,9,0
139050025441138,4.61764,0.9119498,8.014974,9,0
139050044819799,4.6029367,0.9031884,8.046129,9,0
139050045460668,4.5876117,0.89506453,8.076851,9,0
139050066822973,4.5711813,0.887508,8.1073,9,0
139050067738500,4.5543985,0.88039505,8.136709,9,0
139050085316626,4.53652,0.8735145,8.165388,9,0
139050108265845,4.5143337,0.86591417,8.195332,9,0
139050109394995,4.4917383,0.85823685,8.224199,9,0
139050110524147,4.4685097,0.85021114,8.252301,9,0
139050129719703,4.4443502,0.84154946,8.28002,9,0
139050130726783,4.4190702,0.8320295,8.307674,9,0
139050152028051,4.3924103,0.82140744,8.335597,9,0
139050153431860,4.3640065,0.8093892,8.364143,9,0
139050174672093,4.333818,0.7958838,8.393375,9,0
139050175770726,4.3017645,0.7807937,8.423322,9,0
139050196400609,4.2676086,0.76393753,8.454066,9,0
139050199391332,4.2311907,0.7452065,8.485647,9,0
139050220631568,4.1924343,0.7245721,8.518129,9,0
139050221425025,4.1512375,0.7020193,8.551701,9,0
139050222126929,4.1074343,0.67753595,8.586639,9,0
139050245503394,4.0608273,0.6511403,8.623241,9,0
139050246327369,4.010866,0.62268054,8.662039,9,0
139050270924536,3.957059,0.5920876,8.703506,9,0
139050271809546,3.9017107,0.5608152,8.746025,9,0
139050273091284,3.8425639,0.52790314,8.791305,9,0
139050293843236,3.7807279,0.49411562,8.838492,9,0
139050294697728,3.7161493,0.4596541,8.887529,9,0
139050348500220,3.6483145,0.42455724,8.93858,9,0
139050349415747,3.5780113,0.38936472,8.990816,9,0
139050368641822,3.5048678,0.3541904,9.044128,9,0
139050369496315,3.4287372,0.31922057,9.098213,9,0
139050372303932,3.3496578,0.28467092,9.152659,9,0
139050419789280,3.2682662,0.25084296,9.206809,9,0
139050421254125,3.1841574,0.21778172,9.26049,9,0
139050422139135,3.0971444,0.18555647,9.31346,9,0
139050429646458,3.004497,0.15384316,9.366354,9,0
139050431324926,2.9098208,0.12324552,9.417981,9,0
139050434407201,2.813258,0.09384152,9.468362,9,0
139050435414281,2.714926,0.065699,9.517589,9,0
139050459706274,2.6151993,0.03889136,9.565685,9,0
139050460896460,2.5140536,0.013447918,9.612771,9,0
139050461842505,2.4110732,-0.01063746,9.659106,9,0
139050465535132,2.3070707,-0.033351336,9.704637,9,0
139050490529030,2.201631,-0.05474119,9.749626,9,0
139050491597145,2.0962863,-0.07483785,9.793694,9,0
139050492665260,1.9902188,-0.093710214,9.83707,9,0
139050519246069,1.8833036,-0.1114274,9.879726,9,0
139050520558325,1.7760746,-0.12805408,9.921422,9,0
139050521565405,1.6688763,-0.1436623,9.961987,9,0
139050551869360,1.561908,-0.15833305,10.001317,9,0
139050552998510,1.4555974,-0.17214993,10.039315,9,0
139050556416479,1.3497328,-0.18521166,10.076059,9,0
139050583668677,1.2451408,-0.19759159,10.111493,9,0
139050587666480,1.1419489,-0.20937629,10.145751,9,0
139050588765113,1.0408446,-0.22061174,10.178876,9,0
139050590290993,0.9415525,-0.23135792,10.211129,9,0
139050619679419,0.8441818,-0.24162047,10.242644,9,0
139050621022193,0.74879956,-0.25136998,10.273489,9,0
139050622151343,0.65540737,-0.2605499,10.30366,9,0
139050675618139,0.56218046,-0.26908147,10.333615,9,0
139050676930394,0.4708798,-0.27687007,10.362659,9,0
139050678151098,0.3811242,-0.28380033,10.390643,9,0
139050679890599,0.29321495,-0.28982356,10.417252,9,0
139050692891089,0.20309678,-0.29440874,10.442386,9,0
139050723347633,0.11425352,-0.2978801,10.465338,9,0
139050734089821,0.026949346,-0.30027542,10.485696,9,0
139050738392799,-0.060107585,-0.30135947,10.502609,9,0
139050742604224,-0.14639656,-0.30130672,10.515877,9,0
139050746998755,-0.23218544,-0.30016962,10.525051,9,0
139050751454322,-0.31797433,-0.29798615,10.529582,9,0
139050783955541,-0.40402284,-0.29487118,10.529155,9,0
139050786396947,-0.49115527,-0.29086614,10.52308,9,0
139050788685766,-0.57910717,-0.28620142,10.5116625,9,0
139050791127172,-0.6681863,-0.28102076,10.494778,9,0
139050793660131,-0.7586546,-0.27547386,10.472369,9,0
139050822407690,-0.8508399,-0.26970387,10.444315,9,0
139050824940650,-0.9448397,-0.26387197,10.410694,9,0
139050827412574,-1.0404645,-0.2581488,10.371834,9,0
139050855427712,-1.1381662,-0.25268507,10.327396,9,0
139050857441872,-1.2376497,-0.24764778,10.277679,9,0
139050858967751,-1.3374637,-0.24315998,10.224067,9,0
139050860524147,-1.4392946,-0.2394543,10.164484,9,0
139050883809058,-1.5393801,-0.23641846,10.102816,9,0
139050885945288,-1.6379358,-0.23421364,10.038163,9,0
139050923695534,-1.7346624,-0.23297276,9.969929,9,0
139050927357643,-1.8278725,-0.23257282,9.899668,9,0
139050929127662,-1.9171089,-0.23324202,9.825575,9,0
139050930897682,-2.000589,-0.234388,9.752247,9,0
139050938221900,-2.07688,-0.23615572,9.678581,9,0
139050964558568,-2.144843,-0.23842578,9.605346,9,0
139050966816869,-2.2032452,-0.24109522,9.533158,9,0
139050969441380,-2.2510872,-0.2440293,9.462775,9,0
139051001698462,-2.2872262,-0.24709502,9.394846,9,0
139051003712622,-2.310007,-0.2501593,9.329932,9,0
139051005421606,-2.3200376,-0.25306243,9.268749,9,0
139051009327856,-2.315803,-0.2556743,9.211739,9,0
139051039631812,-2.2963305,-0.25787085,9.159273,9,0
139051041768043,-2.2609348,-0.25954434,9.111604,9,0
139051043599098,-2.209464,-0.2606178,9.068805,9,0
139051045338600,-2.1412935,-0.26102027,9.030856,9,0
139051076436011,-2.0565176,-0.2607172,8.99753,9,0
139051079426733,-1.9546752,-0.25966457,8.968527,9,0
139051082478491,-1.8359804,-0.25784078,8.94338,9,0
139051084523168,-1.7000418,-0.255194,8.92157,9,0
139051111409155,-1.5456914,-0.2516294,8.902508,9,0
139051113270727,-1.3763587,-0.24723607,8.885356,9,0
139051116810766,-1.1909432,-0.24192198,8.869402,9,0
139051155140846,-0.9900328,-0.23568238,8.8538685,9,0
139051159321754,-0.77448714,-0.22854565,8.837971,9,0
139051164296120,-0.5450571,-0.22055446,8.820924,9,0
139051166066139,-0.3027308,-0.21177517,8.8019905,9,0
139051192036596,-0.04784763,-0.20224771,8.780393,9,0
139051194325415,0.21913618,-0.1920162,8.755368,9,0
139051196736303,0.49602336,-0.18119869,8.726486,9,0
139051198811498,0.7820534,-0.16983546,8.693071,9,0
139051223652806,1.0763925,-0.15795508,8.654465,9,0
139051225544896,1.3779875,-0.1455847,8.610088,9,0
139051227803197,1.6857557,-0.1327505,8.55943,9,0
139051253346411,1.998581,-0.11948633,8.50206,9,0
139051255177466,2.3153443,-0.10583447,8.437617,9,0
139051257313696,2.6349335,-0.0918408,8.365807,9,0
139051283863990,2.9574509,-0.077483885,8.28574,9,0
139051285786598,3.2795484,-0.06292177,8.198521,9,0
139051287983863,3.6011133,-0.04812579,8.10347,9,0
139051312733618,3.9219544,-0.03305506,7.999935,9,0
139051314595191,4.239088,-0.017832786,7.8894296,9,0
139051319172827,4.55226,-0.0024002977,7.7714515,9,0
139051362873999,4.8605947,0.013266026,7.6460443,9,0
139051364827124,5.1630306,0.029173592,7.5135202,9,0
139051367726294,5.458477,0.045315295,7.374378,9,0
139051369862524,5.7459264,0.061674844,7.22922,9,0
139051371785132,6.024622,0.078253716,7.078511,9,0
139051397145240,6.293715,0.0950439,6.923074,9,0
139051398945777,6.5523357,0.11204282,6.7640367,9,0
139051401875466,6.7998424,0.12930015,6.60238,9,0
139051428151099,7.0356627,0.14688997,6.4392066,9,0
139051430073706,7.2592874,0.16489986,6.2757425,9,0
139051432728735,7.470257,0.18340167,6.11337,9,0
139051457722630,7.668226,0.20252806,5.953057,9,0
139051459584202,7.852823,0.22234774,5.7959437,9,0
139051461873021,8.023653,0.24291809,5.64305,9,0
139051488118139,8.180277,0.2642536,5.4954224,9,0
139051489979711,8.322355,0.286251,5.3542542,9,0
139051492329565,8.449356,0.30885917,5.2205777,9,0
139051526082008,8.560757,0.33197054,5.09544,9,0
139051528065650,8.656034,0.35543448,4.9798303,9,0
