time,x,y,z,sensor_type,sensor_delay
140034752797082,0.0,0.0,0.0,10,0
140034777729944,-0.068101406,0.013620019,0.08172178,10,0
140034778370813,-0.23154211,0.08172035,0.122578144,10,0
140034810872036,-0.24514341,0.14981604,0.05446005,10,0
140034814351039,-0.40854168,0.2451421,0.51751757,10,0
140034815907436,-0.63997126,0.20423532,0.93966484,10,0
140034845662076,-0.7486892,0.10879147,1.1846418,10,0
140034846180874,-0.6664858,-0.027610064,1.5247202,10,0
140034846547085,-0.6384449,-0.068781376,1.8371773,10,0
140034846943814,-0.6644206,0.053353667,2.0400243,10,0
140034867390592,-0.6762042,0.21621025,2.5007463,10,0
140034867970426,-0.85077,0.46065092,2.7014832,10,0
140034886708220,-1.0109034,0.6640692,2.50559,10,0
140034887135466,-1.0884309,0.81281817,2.0898218,10,0
140034903035125,-1.0968022,0.8523401,1.6171141,10,0
140034921498260,-1.1175666,0.87786937,1.1551018,10,0
140034922352752,-1.2050133,0.9028826,0.7578416,10,0
140034942280732,-1.3315697,1.0088768,0.38385725,10,0
140034943287812,-1.4433908,1.1279169,0.27990866,10,0
140034961018526,-1.5941525,1.2459111,0.28121424,10,0
140034961506807,-1.7433443,1.2539706,0.5522909,10,0
140034979512178,-1.8224082,1.5194945,0.5207615,10,0
140034980183565,-2.0492606,1.6065264,0.45954704,10,0
140034998402559,-2.0831652,1.7463723,0.3416438,10,0
140034998982393,-2.0604315,1.7891825,0.2766838,10,0
140035017903293,-2.0761766,1.8300517,0.1423688,10,0
140035018483127,-2.116633,1.7870631,0.020803452,10,0
140035039753879,-2.0588174,1.7143127,-0.12866068,10,0
140035040852513,-1.9301615,1.6390994,-0.22368765,10,0
140035062336889,-1.839539,1.547661,-0.27748775,10,0
140035062947240,-1.773665,1.4674475,-0.50744534,10,0
140035082905737,-1.7595253,1.4526834,-0.6817212,10,0
140035083516088,-1.729073,1.3671702,-0.7045984,10,0
140035139454811,-1.6278853,1.3335133,-0.54847956,10,0
140035144429176,-1.6153197,1.3073874,-0.43114042,10,0
140035145070045,-1.6143713,1.2518983,-0.5018463,10,0
140035145924537,-1.4756651,1.1538136,-0.47433376,10,0
140035146504371,-1.3760829,0.9857416,-0.30744934,10,0
140035147023169,-1.2327456,0.9373889,0.026605606,10,0
140035175862279,-1.2260766,0.9163544,0.3224659,10,0
140035176594701,-1.2596731,0.8808799,0.7032919,10,0
140035177235570,-1.1701417,0.7901833,0.9511461,10,0
140035197773901,-0.94392586,0.7669432,1.2974701,10,0
140035198506323,-0.6360798,0.6073904,1.6600704,10,0
140035220753639,-0.49156618,0.4067328,1.8889651,10,0
140035221547096,-0.7701006,0.2611251,1.9288635,10,0
140035247151343,-1.3627152,0.08887744,1.9700365,10,0
140035247914282,-1.9563174,-8.3708763E-4,2.1617336,10,0
140035248646704,-2.632857,-0.11666942,2.244534,10,0
140035270710912,-3.1880753,-0.09492469,2.517438,10,0
140035271504369,-3.52669,0.06473088,2.4622655,10,0
140035294941869,-3.825548,0.2399435,3.1135159,10,0
140035295796362,-3.9889982,0.6488559,3.6942081,10,0
140035296559301,-4.0025964,0.7467711,3.8491697,10,0
140035320912330,-3.8394687,0.77901316,3.7694278,10,0
140035321736304,-3.7438307,0.6094072,3.0589147,10,0
140035375233618,-3.6330037,0.40138173,1.6485057,10,0
140035376179663,-3.5205843,0.26380014,0.042363167,10,0
140035376973120,-3.4484904,0.19643497,-1.4865804,10,0
140035377736060,-3.3748796,0.28105712,-2.6515007,10,0
140035378560034,-2.9589639,0.5311351,-3.4107454,10,0
140035403096166,-2.376999,0.76948595,-3.750232,10,0
140035404133763,-1.7925904,0.8869624,-3.8593316,10,0
140035405476537,-1.2048092,1.8776908,-2.048365,10,0
140035428761449,-0.287364,3.1829715,-1.7073016,10,0
140035429860082,-0.14368153,3.9580069,-1.050684,10,0
140035459553687,0.017575264,4.2703066,-1.5075994,10,0
140035460804908,0.3424344,4.2693815,-2.3962994,10,0
140035461720435,1.1316094,4.172148,-3.0891032,10,0
140035488362281,2.003168,4.004915,-3.6804907,10,0
140035489491431,2.7510185,3.8626716,-4.224852,10,0
140035490620581,3.1294441,3.7715456,-4.5577517,10,0
140035517598119,3.0556407,3.6762872,-4.882865,10,0
140035518849339,2.77358,3.5899367,-5.0362644,10,0
140035519856419,2.5817533,3.6345277,-5.3306828,10,0
140035547749487,2.533503,3.5096307,-4.9207664,10,0
140035548939672,2.573472,3.1066427,-4.937394,10,0
140035550648658,2.7415514,2.4522474,-5.0120506,10,0
140035578297584,3.1049347,1.586896,-5.0487127,10,0
140035579579322,3.6767612,0.6880379,-5.06122,10,0
140035580800026,4.3612757,-0.02596569,-4.9271307,10,0
140035608937232,5.0215216,-0.48692083,-4.5233316,10,0
140035610310523,5.508031,-0.7069142,-4.1508694,10,0
140035611470191,5.697467,-1.1622024,-3.6186817,10,0
140035643605199,5.7389593,-1.4706616,-3.3352869,10,0
140035659535375,5.578516,-1.5625143,-2.9209137,10,0
140035661061254,5.311259,-1.6136446,-2.7848477,10,0
140035662220922,4.814146,-1.9907088,-2.518926,10,0
140035727742163,4.563899,-2.4064276,-2.2603092,10,0
140035729268042,4.5042896,-2.737287,-1.7631459,10,0
140035730641333,4.585156,-2.9407969,-1.2772121,10,0
140035732380835,4.709509,-2.8116238,-0.9517884,10,0
140035737263647,5.095786,-2.8390622,-0.63822365,10,0
140035738697973,5.4585547,-2.5046065,-0.43306494,10,0
140035740956274,5.267257,-1.8619406,-0.21493769,10,0
140035742634741,4.249942,-1.1827736,0.055920124,10,0
140035777821508,2.5845942,-0.69830656,0.41910315,10,0
140035779866186,0.5579338,-0.5445061,0.8871536,10,0
140035781666724,-1.5993342,-0.52980185,1.24156,10,0
140035783406225,-3.9509063,-0.30203438,1.4669423,10,0
140035784779516,-6.591665,0.09811115,1.9030552,10,0
140035815571754,-9.179356,0.7654762,2.5081768,10,0
140035819630591,-11.33027,1.4813571,3.5811396,10,0
140035821186989,-12.918984,2.1221428,4.957755,10,0
140035822987526,-13.384022,2.7821994,6.364812,10,0
140035856282202,-13.103336,3.5420547,7.4745717,10,0
140035861561743,-12.863419,3.2561355,8.885559,10,0
140035863484350,-12.4015465,2.5633998,8.662231,10,0
140035865406958,-11.986416,1.0945988,8.383247,10,0
140035896229712,-9.982779,0.8366022,8.076448,10,0
140035902882544,-8.743022,0.6850624,7.9849753,10,0
140035904683081,-7.556946,0.6253567,7.631257,10,0
140035906453101,-6.2187877,0.520484,7.1779537,10,0
140035979786839,-4.728153,0.35625744,6.6383595,10,0
140035982960668,-2.622076,0.15953112,6.5434704,10,0
140035985859838,-0.4685564,0.1867733,6.322377,10,0
140035988697973,1.0021548,-0.06368542,6.084395,10,0
140035991536108,1.6919832,-0.37374926,5.5714855,10,0
140035994526831,1.5977073,-0.44347143,5.1251106,10,0
140035997456518,1.0177798,-0.44988775,4.703573,10,0
140036031819313,0.57136536,-0.46002388,4.243146,10,0
140036034413307,0.5832963,-0.7187896,3.4440284,10,0
140036036976783,1.2278032,-1.0486851,2.565618,10,0
140036039570777,2.3235507,-1.2582607,1.2290268,10,0
140036042103736,2.6416607,-1.5375996,-0.37368536,10,0
140036044545143,1.553824,-1.6275079,-2.011453,10,0
140036072224585,-0.9047699,-1.7990966,-3.009335,10,0
