time,x,y,z,sensor_type,sensor_delay
140581785725562,-13.679999,5.64,-24.779999,2,0
140581808827369,-14.82,4.8599997,-25.08,2,0
140581825032204,-16.26,4.14,-24.84,2,0
140581867787328,-17.699999,3.48,-24.72,2,0
140581868123021,-19.26,2.9399998,-24.539999,2,0
140581868336644,-20.58,2.28,-24.3,2,0
140581895161597,-21.9,1.74,-24.119999,2,0
140581895497290,-23.16,1.1999999,-23.939999,2,0
140581924855201,-24.72,0.71999997,-23.64,2,0
140581925251930,-26.039999,0.12,-23.22,2,0
140581952992407,-27.539999,-0.24,-22.859999,2,0
140581953389135,-28.98,-0.53999996,-22.439999,2,0
140581976582495,-30.599998,-0.78,-21.9,2,0
140581977009741,-31.98,-1.0799999,-21.539999,2,0
140581999867408,-33.84,-1.1999999,-20.939999,2,0
140582000416725,-35.7,-1.38,-20.4,2,0
140582024067847,-35.76,-1.1999999,-20.1,2,0
140582024556128,-35.82,-1.26,-19.68,2,0
140582048848120,-35.82,-1.1999999,-19.619999,2,0
140582049336401,-35.88,-1.0799999,-19.5,2,0
140582075398414,-35.82,-1.02,-19.439999,2,0
140582075978248,-35.88,-0.96,-19.38,2,0
140582099995581,-36.0,-1.0799999,-19.38,2,0
140582100666968,-36.059998,-1.0799999,-19.32,2,0
140582125264136,-35.94,-1.0799999,-19.439999,2,0
140582125843969,-36.0,-0.96,-19.38,2,0
140582159413306,-36.12,-1.02,-19.32,2,0
140582161000221,-36.18,-1.14,-19.32,2,0
140582161488502,-36.3,-1.14,-19.439999,2,0
140582179646460,-36.42,-1.0799999,-19.32,2,0
140582185811011,-36.36,-1.1999999,-19.38,2,0
140582204121557,-36.42,-1.26,-19.56,2,0
140582230275123,-36.54,-1.3199999,-19.439999,2,0
140582258961646,-36.719997,-1.26,-19.439999,2,0
140582259999244,-36.96,-1.3199999,-19.439999,2,0
140582301655738,-37.02,-1.4399999,-19.439999,2,0
140582304005591,-37.14,-1.68,-19.439999,2,0
140582328450172,-37.2,-1.74,-19.5,2,0
140582329640357,-37.02,-1.74,-19.68,2,0
140582330647437,-36.84,-1.92,-19.92,2,0
140582351429907,-36.6,-1.9799999,-20.039999,2,0
140582374043433,-36.6,-2.3999999,-20.22,2,0
140582375142066,-36.54,-2.52,-20.34,2,0
140582394490211,-36.54,-2.6399999,-20.16,2,0
140582413014381,-36.48,-3.0,-20.039999,2,0
140582413868873,-36.3,-3.1799998,-20.1,2,0
140582430409399,-36.18,-3.36,-19.98,2,0
140582448262182,-35.76,-3.54,-19.8,2,0
140582467610328,-35.52,-3.84,-19.98,2,0
140582486103981,-35.1,-4.14,-20.039999,2,0
140582487050026,-34.44,-4.56,-20.4,2,0
140582507496802,-33.899998,-4.68,-20.699999,2,0
