time,x,y,z,sensor_type,sensor_delay
1516104667143,31.0,5.0,31.0,3,3
1516330436184,31.0,4.0,33.0,3,3
1516548819970,30.0,5.0,28.0,3,3
1516776267477,29.0,3.0,29.0,3,3
1516995688869,29.0,3.0,33.0,3,3
1517220756006,29.0,8.0,44.0,3,3
1517439414450,33.0,-2.0,45.0,3,3
1517659079975,65.0,-39.0,34.0,3,3
1517878684467,110.0,-62.0,20.0,3,3
1518098411031,160.0,-71.0,-12.0,3,3
1518318076559,200.0,-49.0,-37.0,3,3
1518537101217,224.0,-45.0,-42.0,3,3
1518756858297,225.0,-68.0,-15.0,3,3
1518979087301,207.0,-64.0,22.0,3,3
1519198539206,168.0,-29.0,58.0,3,3
1519417685933,123.0,1.0,80.0,3,3
1519636771626,82.0,32.0,57.0,3,3
1519857139061,49.0,62.0,28.0,3,3
1520078330467,27.0,106.0,16.0,3,3
1520297141505,33.0,12.0,71.0,3,3
1520521689843,58.0,-30.0,46.0,3,3
1520741507957,113.0,-61.0,8.0,3,3
1520960135894,167.0,-57.0,-24.0,3,3
1521182792152,192.0,-63.0,-16.0,3,3
1521404136152,202.0,-68.0,-7.0,3,3
1521624167888,202.0,-69.0,5.0,3,3
1521850730385,214.0,-32.0,-0.0,3,3
1522074576822,243.0,0.0,-11.0,3,3
1522294333899,266.0,14.0,-8.0,3,3
1522513602694,278.0,9.0,-4.0,3,3
1522732444243,284.0,-23.0,3.0,3,3
1522952628568,270.0,-50.0,4.0,3,3
1523172233059,248.0,-76.0,3.0,3,3
1523390891506,232.0,-85.0,3.0,3,3
1523610862207,223.0,-76.0,3.0,3,3
1523829947898,223.0,-52.0,3.0,3,3
1524050589991,231.0,-29.0,5.0,3,3
1524269492576,251.0,-10.0,-1.0,3,3
1524488944479,272.0,11.0,-5.0,3,3
1524709464498,286.0,18.0,-6.0,3,3
1524929068990,293.0,5.0,-2.0,3,3
1525148490378,289.0,-27.0,3.0,3,3
1525367148827,267.0,-60.0,6.0,3,3
1525589774558,243.0,-69.0,9.0,3,3
1525809134910,224.0,-63.0,13.0,3,3
1526028830959,170.0,-15.0,69.0,3,3
1526255027249,134.0,-6.0,84.0,3,3
1526473746739,197.0,-13.0,-73.0,3,3
1526699943023,187.0,-65.0,22.0,3,3
1526918815094,193.0,-42.0,46.0,3,3
1527143210845,193.0,-43.0,43.0,3,3
1527362662749,194.0,-43.0,45.0,3,3
1527583274322,174.0,-57.0,-13.0,3,3
1527802634672,173.0,-82.0,8.0,3,3
1528022147613,162.0,-86.0,-4.0,3,3
1528249076323,161.0,-50.0,-39.0,3,3
1528479392483,190.0,-94.0,2.0,3,3
1528698874903,191.0,-74.0,-15.0,3,3
1528918387843,197.0,-60.0,12.0,3,3
1529138480622,190.0,-18.0,49.0,3,3
1529370719393,174.0,-5.0,38.0,3,3
1529589560949,129.0,5.0,22.0,3,3
1529810538731,85.0,8.0,31.0,3,3
1530034415683,61.0,7.0,33.0,3,3
1530259849032,48.0,6.0,34.0,3,3
1530489982086,43.0,6.0,35.0,3,3
