time,x,y,z,sensor_type,sensor_delay
315727744550,-0.03178473,-0.36288893,-0.28143528,11,3
315948020429,-0.08131083,-0.34968692,-0.3958348,11,3
316169913740,-0.08953248,-0.32121164,-0.42062318,11,3
316389670820,-0.07873014,-0.2625373,-0.4648344,11,3
316610740157,-0.051266335,-0.15889747,-0.5258787,11,3
316830771895,-0.03384211,-0.0515621,-0.5740111,11,3
317052909344,-0.023673145,-0.027049249,-0.5780321,11,3
317491599524,0.5378463,-0.18592243,-0.28237858,11,3
317713126620,-0.08378845,-0.01428692,-0.5608136,11,3
317932456458,-0.022317177,-0.021383569,-0.50932443,11,3
318160453286,0.005134214,-0.049270608,-0.47243267,11,3
318382529699,-0.010482421,-0.047945514,-0.48457867,11,3
318609794101,-0.017767835,-0.031900782,-0.50684065,11,3
318837180574,-0.011176602,-0.040462397,-0.50147855,11,3
319056479889,-0.015829653,-0.038620546,-0.50552016,11,3
319275718166,-0.01669465,-0.037547685,-0.5043507,11,3
319499534083,-0.013404965,-0.043532573,-0.49801585,11,3
319718985985,-0.011592181,-0.047690295,-0.49590725,11,3
319938437888,-0.005741199,-0.052889843,-0.4897168,11,3
320157340477,0.0022967393,-0.060122572,-0.48226675,11,3
320380942773,0.0147795845,-0.06959154,-0.47081956,11,3
320600303125,0.033681232,-0.078150935,-0.45487428,11,3
320824149558,0.051756375,-0.08625181,-0.47263104,11,3
321042167139,0.08064442,-0.08940582,-0.41629034,11,3
321269889304,0.11033914,-0.09339392,-0.42406842,11,3
321490897606,0.13801867,-0.09508462,-0.4242061,11,3
321711356590,0.16740754,-0.10444547,-0.4121239,11,3
321930442283,0.2006474,-0.11793628,-0.40012547,11,3
322151786277,0.23830295,-0.12764399,-0.38918418,11,3
322371207664,0.27170828,-0.13769509,-0.37861064,11,3
322599997946,0.30672312,-0.15202259,-0.3694487,11,3
322830710835,0.34154946,-0.17169067,-0.36489257,11,3
323049979635,0.36948666,-0.19932672,-0.36432305,11,3
323279593890,0.41925266,-0.23794608,-0.3497762,11,3
323499259418,0.4567694,-0.27416465,-0.35771012,11,3
323721366351,0.4926064,-0.3039414,-0.3630312,11,3
323940970844,0.52084213,-0.33836985,-0.3738677,11,3
324160178616,0.5385759,-0.37262613,-0.38346967,11,3
324391501855,0.5568862,-0.40540752,-0.38497198,11,3
324611899811,0.5576122,-0.44252038,-0.3936688,11,3
324839560940,0.5809169,-0.47748452,-0.37371546,11,3
325059531642,0.60101223,-0.5127182,-0.36139077,11,3
325279990623,0.6072236,-0.54628134,-0.36032104,11,3
325499534080,0.58921903,-0.5853308,-0.3744899,11,3
325720359275,0.58924997,-0.6277898,-0.36261615,11,3
325939628074,0.5797293,-0.67441684,-0.343007,11,3
326159141015,0.54269123,-0.7156459,-0.34230876,11,3
326389579246,0.5250925,-0.7472381,-0.31959233,11,3
326609153222,0.56228566,-0.76231897,-0.23857999,11,3
326829429099,0.6174953,-0.7614382,-0.12530373,11,3
327050193260,0.6247552,-0.7722345,-0.057570357,11,3
327269339986,0.5700773,-0.8181061,-0.025535464,11,3
327488059473,0.508148,-0.85974735,0.012918708,11,3
327709678124,0.49700502,-0.8627695,0.09133389,11,3
327929862451,-0.5189339,0.8334642,-0.18717611,11,3
328150382474,-0.55235493,0.78012663,-0.2751139,11,3
328381064845,-0.5789482,0.7033472,-0.35802448,11,3
328599540186,-0.5356018,0.6929194,-0.4173495,11,3
328819205712,-0.51997954,0.65042466,-0.46496186,11,3
329038749171,-0.5126755,0.5845402,-0.5088328,11,3
329258353661,-0.49998522,0.5201168,-0.54527026,11,3
329477775046,-0.48783076,0.43128628,-0.5544781,11,3
329697776265,-0.4572502,0.35440964,-0.5515631,11,3
329917533347,-0.41991398,0.3530383,-0.6036099,11,3
330138236472,-0.3928008,0.3191867,-0.63748944,11,3
330357261130,-0.33730063,0.15559752,-0.54913336,11,3
330575766991,-0.22210927,0.03980166,-0.47035944,11,3
330800895164,-0.16046481,-0.002649235,-0.47321814,11,3
331020255515,-0.13005255,-0.003022319,-0.5271536,11,3
331239005513,-0.052823026,-0.031395573,-0.5228065,11,3
331458304832,0.0071616895,-0.068762764,-0.51166284,11,3
331679404685,0.001151609,-0.079825304,-0.54104817,11,3
331898917625,-0.025703555,-0.06061415,-0.5980937,11,3
332118491602,-0.027543023,-0.056770965,-0.6025031,11,3
332337333153,-0.0506249,-0.04950399,-0.84710914,11,3
332556785059,-0.029332966,-0.06672346,-0.51196516,11,3
332779807518,-0.041279264,-0.059345007,-0.6079365,11,3
332999717187,-0.048456226,-0.05913497,-0.6273929,11,3
333219718412,-0.052810896,-0.060611077,-0.6081333,11,3
333449058008,-0.052297264,-0.058194518,-0.60484594,11,3
333669883201,-0.05102466,-0.056459468,-0.6161912,11,3
333889243552,-0.055322908,-0.06276183,-0.61751366,11,3
334113852932,-0.0757144,-0.09383126,-0.60189825,11,3
334332389311,-0.11550045,-0.17915423,-0.5287045,11,3
334561545802,-0.10723243,-0.31227478,-0.3213189,11,3
334783103420,-0.06740636,-0.41844428,-0.16919386,11,3
335003135158,-0.042769577,-0.51006794,-0.097888365,11,3
335222373436,-0.20253323,-0.5023216,-0.33139125,11,3
335441184472,-0.27971876,-0.3970519,-0.5067707,11,3
335660849998,-0.2499603,-0.3093389,-0.5678593,11,3
335879386375,-0.21530452,-0.25823665,-0.59154767,11,3
336101096583,-0.18196169,-0.2156517,-0.60419166,11,3
336321708153,-0.14695056,-0.1736693,-0.60664386,11,3
336543723535,-0.12530166,-0.15456739,-0.5943787,11,3
336768973777,-0.119782396,-0.15960711,-0.57646435,11,3
336988608787,-0.11697343,-0.17372017,-0.5652515,11,3
337207816551,-0.105288886,-0.18561128,-0.56280726,11,3
337426536033,-0.09791683,-0.19263709,-0.56703556,11,3
337646048976,-0.103083014,-0.19207849,-0.5752657,11,3
337869193506,-0.092501596,-0.20014082,-0.56108063,11,3
338089072657,-0.036716186,-0.22464314,-0.5194267,11,3
338308341463,0.04969416,-0.24008155,-0.48795384,11,3
338529593902,0.14497216,-0.24781813,-0.4723496,11,3
338750937894,0.24280958,-0.27141523,-0.4490169,11,3
338973655178,0.30770004,-0.29825345,-0.42511752,11,3
339196189357,0.25622448,-0.30230373,-0.4663495,11,3
339415946438,0.13088886,-0.27852145,-0.57385314,11,3
339636435940,0.039702326,-0.2469377,-0.64680445,11,3
339857627347,-0.022582019,-0.20762736,-0.6752342,11,3
340078330470,-0.082215056,-0.14604671,-0.6965981,11,3
340296958398,-0.11446219,-0.1002172,-0.6922114,11,3
340515983060,-0.11065322,-0.093881354,-0.66015583,11,3
340739676906,-0.08358689,-0.0937508,-0.6278504,11,3
340958610010,-0.04583866,-0.05493137,-0.62378967,11,3
